type_clothes,price,address,image_link-src
T-shirts homme,8 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2802418_uploaded_image1_1606902197.jpg
T-shirt homme,5 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2802045_uploaded_image1_1606891982.jpg
T-shirts homme,5 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2802042_uploaded_image1_1606891835.jpg
T-shirt homme,5 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2802039_uploaded_image1_1606891695.jpg
Costumes homme,10 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2800913_uploaded_image1_1606844176.jpg
Pulls homme,8 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2800689_uploaded_image1_1606839424.jpg
T-shirt Gucci,4 500CFA,"Marcory, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2799910_uploaded_image1_1606825971.jpg
T-shirt Lacoste,45 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2799823_uploaded_image1_1606824384.jpg
T-shirt Lacoste homme,4 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2820220_uploaded_image1_1607522579.jpg
T-shirt homme,5 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2820206_uploaded_image1_1607522406.jpg
Chemises homme,8 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2820082_uploaded_image1_1607519687.jpg
Chemises,8 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2819965_uploaded_image1_1607517865.jpg
Jacket  - casquette,20 000CFA,"Le Plateau, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2819259_uploaded_image1_1607503769.jpg
Culotte jeans,7 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2819129_uploaded_image1_1607499791.jpg
Pantalon jeans homme,8 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2819114_uploaded_image1_1607499088.jpg
