type_child_clothes,price,address,image_link-src
Salopette enfant,2 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1344717_uploaded_image1_1576432862.76.png
Ensemble petit garçon,Prix sur demande,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1342048_uploaded_image1_1576365697.06.png
Robe enfant,6 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1324286_uploaded_image1_1576048960.45.png
Robe enfant,35 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1322581_uploaded_image1_1576003685.29.png
Robe,Prix sur demande,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1322578_uploaded_image1_1576003658.94.png
Robe princesse,35 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1322577_uploaded_image1_1576003635.19.png
Robe enfant,20 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1316886_uploaded_image1_1575911051.0.png
Robe enfant,18 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1316868_uploaded_image1_1575910604.48.png
Vêtements pour enfants,Prix sur demande,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1311509_uploaded_image1_1575812147.73.png
Robes enfant,Prix sur demande,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1309318_uploaded_image1_1575754085.65.png
Vêtements enfant,5 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1292989_uploaded_image1_1575459794.86.png
Ensemble tunique 3 pièces,11 500CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1290173_uploaded_image1_1575397602.09.png
Robe - enfant,25 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1284367_uploaded_image1_1575303359.1.png
Veste - enfant,8 500CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1284351_uploaded_image1_1575303176.9.png
Jupe enfant,13 500CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1284341_uploaded_image1_1575303054.1.png
Pantalon enfant,6 500CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1284326_uploaded_image1_1575302913.05.png
Vêtements pour enfant,19 500CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1284313_uploaded_image1_1575302766.81.png
Vêtements  enfant,25 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1284291_uploaded_image1_1575302485.66.png
Vêtements  enfant,9 500CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1284282_uploaded_image1_1575302305.04.png
Vêtements  enfant,19 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1282150_uploaded_image1_1575280170.13.png
Tunique enfant,11 500CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1280232_uploaded_image1_1575233557.32.png
Ensembles boubou,15 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1275075_uploaded_image1_1575115043.75.png
Tee-shirt,5 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1271633_uploaded_image1_1575049867.09.png
T-shirt,3 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1271627_uploaded_image1_1575049779.19.png
Robes enfant,20 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1265090_uploaded_image1_1574941814.42.png
